excavation,transportation,fuel,equipment,workers,output,fuel_type,reduction,future_co2,risk_score,fuel_encoded
19039.735882944442,3366.787941102401,13000.313386148659,4572.21115644334,1663,25924.179267999356,oil,0.38261358863854567,10162217571.71,64.45,2
47560.35816729085,3985.440171984948,3530.4886058928078,2650.534385006515,861,38110.37500688365,oil,0.21283376031297763,3480812027.45,66.08,2
36733.70011966455,1259.83481497457,17460.651810760817,3638.3058455886176,944,80194.7578099033,biomass,0.2953735140884571,3707050.21,18.22,0
30133.59496775331,3128.1217570389244,12301.013157477906,2208.43907496431,1996,83591.29485493201,naturalGas,0.3079590670266239,8649222601.3,58.67,1
8222.922701900607,2863.012455887306,3228.3572827833896,3168.671158835069,910,31114.065285223096,naturalGas,0.28178664163251815,1881223759.62,62.29,1
8221.728756642031,4165.823580173473,19250.527343876016,1735.8508902345375,1738,47432.428624726,oil,0.24149028791502247,20560073527.03,67.32,2
3375.1388023258733,4531.37443180149,10415.47272037288,1540.7371479379544,408,87508.15785172518,naturalGas,0.3585767841011837,10249749325.25,56.38,1
43375.71921585929,70.66228967216017,1550.6791922459345,2912.2374415390927,1379,6214.659851140016,naturalGas,0.20712434824411308,30573783.54,64.77,1
30255.193081288835,3373.3593961033753,12573.974797859837,2515.7418872107028,1228,89025.35123758276,naturalGas,0.07138603477031126,9943316125.55,66.05,1
35549.59260090425,268.6606376074478,5138.658249554924,2918.705027292406,177,22699.250219580837,biomass,0.3455947314992561,4020133.14,50.88,0
1518.9324676422211,2748.804738736006,16093.499692358318,1468.9698773707637,386,68175.3851772232,oil,0.28589344531079275,11451563307.74,65.74,2
48510.537682018716,1445.2873179279543,16374.659263967194,1866.4412674941266,1522,58672.61794207543,coal,0.3472405192748763,4364565824.27,67.75,3
41705.91071962088,1540.8152316154847,19581.052381507772,465.2949051131011,1784,55741.134070735956,naturalGas,0.09849160485564301,6771325013.99,65.12,1
11010.78597857467,1771.2629322272594,10087.203667387625,308.7680427474183,1395,86076.66225052932,oil,0.06076352917840072,4791349954.79,72.81,2
9500.33587675148,3110.2493207575544,9153.641906581968,1304.6127918814304,1515,11055.642220821466,coal,0.3770310891338755,4874891384.95,67.31,3
9578.523237744974,1676.9093286871584,15094.164548384964,417.52195368620147,1277,35355.77450723797,biomass,0.10170490704770101,990672.48,13.72,0
15559.991026497117,3666.1682624454993,2736.166061204339,563.6848077419664,1614,54287.02188813179,oil,0.33337831622465813,2342740444.29,63.87,2
26475.443365795774,2028.5916540136097,10983.61872448317,4073.9956066999885,616,81317.59654065793,biomass,0.33812347976322255,2975808.65,13.87,0
21881.27842278473,351.0824695466935,10970.327242603933,242.42480023261203,1020,22427.86525775548,oil,0.29804682019215106,946081826.27,63.41,2
14915.842439803075,3920.961613995695,1880.5151439267056,3311.7668299769766,598,80490.05429605335,biomass,0.09594177388250484,1761541.85,10.18,0
30786.718288757784,1435.934039717603,8417.88330158758,1399.1608566362324,1204,40564.209766899636,oil,0.2835895185962827,3013453968.77,69.18,2
7404.946102276071,2169.5067292003205,17080.36749148732,4364.151119505226,1546,19702.471786935846,biomass,0.361180304164403,1165318.85,26.91,0
14961.160102493299,3430.3649772772887,17137.45707769374,2450.711808658623,1439,76139.65760390478,coal,0.19893607568030913,11180794304.92,71.41,3
18634.91124303774,1668.956224172073,2074.829531901652,1562.6034736727374,1607,9998.991245980234,oil,0.19473089903250962,912505073.81,70.32,2
23075.46421874328,292.362424172111,1905.345566681834,2612.312731662701,1240,51961.97003346885,coal,0.2050004083527967,103698724.97,71.22,3
39366.210088954176,1875.8660245939398,5327.6399923385125,1940.6921942740807,1187,7323.702602326953,naturalGas,0.07879516173667225,2117155809.44,67.07,1
10383.852216838806,4722.798427644574,17507.84464482447,2843.2902701156595,1819,36285.36766062097,coal,0.36220894916049073,15482342894.19,70.63,3
25954.604701473774,3212.254642519805,2665.161442962629,616.9376982154238,57,60506.60310163287,oil,0.35421400239317863,2025072625.73,65.28,2
29824.5211586711,3360.6809518493624,14427.93637228618,4985.102988922128,1682,56055.43860723409,coal,0.3992682626266002,8923917989.0,69.42,3
2799.2954296398875,3165.0879466518227,2113.195830300754,2156.501594598752,1034,41060.88637256199,oil,0.2548140995244447,1681066089.73,64.88,2
30573.4701691212,1002.9707734075896,12500.443289581724,1773.741666551475,1780,43475.751403239454,biomass,0.312917072757985,3221848.56,38.44,0
8940.94412252093,2097.485981870378,7185.739252470982,3565.538749165511,1938,23450.185781725886,naturalGas,0.12093516720755665,3309879575.83,62.19,1
3720.053852771336,3757.189593832958,15799.387863020755,1851.3020621518958,1801,46132.376253986185,coal,0.28363508637845936,10862088811.49,70.53,3
47469.834094039994,515.8507587902641,4750.439931624735,4174.70780989235,1440,95372.2307163626,naturalGas,0.27740649706508674,510802004.76,62.33,1
48298.78563719069,1396.485352687664,12820.1164048602,2298.6400855841052,1140,85194.83886059525,coal,0.3654230575445644,3447723112.88,69.05,3
40515.668731764825,1388.8323512446095,4790.082438060111,3611.8141456639028,182,15378.054038558037,oil,0.34077745299367596,1530087243.69,67.58,2
15578.381574081848,2165.774448696585,14301.83963393186,581.8934213873384,515,3948.2979447711723,coal,0.3784632619162171,5559339453.45,66.18,3
5334.769643316002,4902.040017301503,17486.1928877589,4238.289968497804,1163,93418.90695894643,naturalGas,0.3540917154455626,16741827678.87,57.24,1
34369.53481235177,346.8377079522715,2623.3558026225246,3691.804034551644,407,53148.22523819401,coal,0.3540428632145982,160775801.73,66.75,3
22287.548440110266,2598.317961959169,17345.25420305052,1097.9980533867301,303,54245.94449178146,naturalGas,0.0723031643410514,9173910899.54,66.61,1
6540.892624816552,905.0297632409302,11912.14756284453,769.1657482416439,561,78291.08157494571,naturalGas,0.34608668344358456,2096279877.15,55.09,1
25011.257050507873,4853.675961594623,2629.498768253777,1615.6471261918407,1480,32154.208413261327,oil,0.2626174380760914,2997666950.69,65.17,2
2202.231795203311,575.3844885900463,8608.08292165827,4881.549400857926,859,48708.849314764215,biomass,0.18315555811808643,612004.06,2.6,0
45511.35990289971,2023.9690017843402,3301.119840353448,1321.3162941069402,1049,96897.62840152702,biomass,0.06978011853582182,4235917.22,27.63,0
13309.609089200838,3692.046074324685,14036.922988444734,2307.829684285835,1672,67542.72000630831,coal,0.28718582116881636,9641955568.32,69.37,3
33294.85307552211,3525.726595856952,15201.475874917198,198.60011730081476,894,16220.758167582808,naturalGas,0.1648706126881661,12373645162.27,65.13,1
15929.698266425843,2119.4158981007217,2205.350753428699,2016.276271352851,1382,14189.448050450977,oil,0.21372169274511216,1218620891.55,66.38,2
26243.367048301636,1739.155598084064,10172.183068623423,2878.0340763938584,1013,21222.211074967534,biomass,0.28860495296929706,2723447.52,50.55,0
27562.15882749234,1994.0857689788243,16311.038614915751,4767.9668319144275,1236,76904.45576765103,oil,0.36912109145845,8674708300.14,63.3,2
9650.295548513588,1328.73855316161,18729.64452686483,2607.843422453319,143,30242.323380220987,oil,0.33890292046174947,5940136872.29,67.71,2
48494.439074345646,1034.611364146931,10319.005548161223,4104.581264579554,780,3117.495820832899,naturalGas,0.20770899518625996,2103052136.87,59.43,1
38869.07475637517,2420.368090818861,19010.556549867,2758.281830716058,1559,94473.26198706053,coal,0.18572410510623266,9483421105.54,72.04,3
47005.19760742736,1349.9834427773606,10760.210512074993,251.8858165058146,517,17801.628223096155,naturalGas,0.1339229085954166,3332169807.07,65.49,1
44793.95384616862,1444.433707837278,7944.390842538169,1609.2909621893814,1099,1946.2604286587896,biomass,0.18034936291158887,4543566.77,55.46,0
30096.048951148714,3287.21275673804,16979.24225820262,2898.970063763961,489,24476.028635948976,biomass,0.08886623555216441,3314368.25,60.64,0
46132.77463364428,4843.001285182462,9910.355938115972,4755.440131359065,872,24267.849924695234,oil,0.3898869279276641,12229021123.92,61.5,2
4880.378851570015,3022.1496307912817,9490.85996023401,4302.695280768605,468,42778.51983372658,naturalGas,0.2508711053858526,5780733137.8,60.23,1
10201.151689747687,394.1275406541817,9857.218539255584,1180.3602901852958,1375,92118.59331850364,naturalGas,0.09473204497832452,784825059.5,63.75,1
2738.750801071634,387.1622331317942,16951.021537207933,1139.5436585948594,1740,88039.30686013069,oil,0.17348210324306704,1609694980.5,69.5,2
16603.851372781584,4757.601872019374,16655.636679592237,1045.8061872138087,635,46232.56094326037,coal,0.24146370026722963,16091688068.1,74.37,3
19739.52583962936,1493.4810436335947,8130.047849560203,4616.369536697391,168,41679.09059418884,oil,0.23650997282430442,2717354667.43,69.48,2
13931.777072807847,469.4142605515524,6732.667211423448,4270.697457853517,170,55945.89956101027,oil,0.06242617905152133,823262463.76,73.22,2
41522.5067030205,2999.232489880404,9889.367678378672,3885.6729896520965,1287,25101.94718520481,biomass,0.382794361980189,4050676.85,53.09,0
18159.28967133267,3122.0074036684277,11498.17294376847,1994.0388154099264,1930,6166.314204669921,naturalGas,0.14638148851623062,7650859447.09,62.19,1
14406.258229525347,3246.039052392254,4842.910491497139,2546.6844862788957,949,93983.18948094947,biomass,0.05566463412616192,1669706.1,9.43,0
27363.4561163333,1344.3361190091312,15899.706185840254,2348.4421367360064,1560,19483.1995028401,oil,0.07675540313259888,5462451906.55,73.38,2
7475.749136250751,85.40231423023042,9781.007038075215,1304.3206324188945,1582,20641.672195325922,naturalGas,0.253068216136792,164495356.95,61.14,1
40208.75054732496,4825.426693577814,6747.506413557196,2549.8888284363966,164,47773.572556540814,oil,0.09822493223628391,7910200333.63,69.33,2
4190.256862148655,1261.9562979986015,2225.737759983413,200.9579118711346,495,49669.72113919274,oil,0.06460367749872616,704272477.67,73.71,2
49350.90336172561,3383.371177382212,4853.018692031777,702.4613488124229,441,2824.9867603734524,coal,0.18286926324444897,2840620021.22,73.76,3
38726.11608018454,3536.083050694761,18990.695317944075,4438.618501036284,1060,15647.519138623098,biomass,0.267966417319066,3897173.4,55.45,0
10336.426235941533,3053.937011226634,6171.483767708579,3770.814846805545,1013,38437.32703751343,biomass,0.08914393169456433,1357988.57,22.37,0
773.3447976183188,1571.4078971261047,3460.299858404003,2143.198624842481,1045,68689.33865754337,oil,0.15966474125296046,1346907407.81,70.52,2
40865.34070851429,1362.7703062826881,9267.388553934365,2609.894293305192,76,23613.427226361648,coal,0.19621623506858982,2228786326.08,71.12,3
35489.43852045705,2992.3647306864887,6211.046092868949,1881.4944855018882,551,42878.430177934504,oil,0.10581103422536853,4618499696.03,72.64,2
36585.85481802887,4331.81721172234,799.6690803967637,3716.8603424453286,105,56177.161406930216,oil,0.2271258644633486,925764102.77,69.68,2
38677.882160954316,4734.201307327744,6530.589823860403,3931.726537198794,224,88970.65696770592,oil,0.07982493041561982,6925645608.35,71.1,2
4165.2102608374735,538.4699639747506,10927.761616395424,3828.2616915056374,203,33280.97973038521,coal,0.06628147372077403,1138795263.69,77.8,3
18244.053562941495,782.5947768626221,11079.07620319734,3626.9280379305255,1680,14222.268320484867,naturalGas,0.23194237850429722,1706451724.81,63.84,1
6235.518446493921,4724.233931327568,7195.522531420085,1062.2964765293393,1323,49437.950363863216,coal,0.1367639404628065,5799479241.77,74.69,3
43223.61958084188,3685.310789390615,9001.324849426752,1722.95139724037,1577,74925.43856672215,oil,0.08338083276430963,7641499095.76,70.84,2
31353.257277964116,4416.139185900568,19313.80657287185,2375.734903169191,894,11876.11594822061,naturalGas,0.1983694056206713,17984814063.78,60.31,1
16879.452230206134,1021.1368443353624,7609.234696883202,1687.4253075668953,48,43043.66567799908,oil,0.37029925883108816,2028727350.67,64.24,2
3646.13833915817,2942.053496835915,5238.713583873661,3786.9539907837284,1897,2760.7289849858594,coal,0.3034673563289542,2782022948.45,73.59,3
15893.62492492528,3508.6865761431936,4944.994176928526,1680.2999450372756,948,4322.358983077862,coal,0.3354655703714597,3346843953.52,70.59,3
16596.57444032398,3403.7583083803934,9209.51579281227,734.248829587419,948,48812.382958449896,naturalGas,0.3551698960655228,6595315266.28,56.16,1
36615.505827734174,2046.6769374248236,15214.450959467187,2025.250237639105,215,30521.532516942014,coal,0.39041970948874666,5570059233.3,69.12,3
32059.09483208305,86.8205095396293,4199.164865350616,4900.5764422727825,1932,84665.6226015358,oil,0.3171363007299606,93748414.97,66.23,2
44417.03075752816,2918.801023453273,14214.992930101285,1168.1129940212006,951,60613.27630651897,naturalGas,0.26294277267881794,9385312789.42,60.69,1
23874.63879551649,1272.9766805062477,520.8814846533841,3080.185361768984,1961,45939.36321255605,biomass,0.17789905810578654,2773737.72,30.85,0
6419.915173945934,2256.768688253023,8436.766261880526,2193.216596706546,564,41385.601734375334,oil,0.11357513279520064,5006863252.17,72.4,2
35805.616967538255,4788.3292652682485,15539.714797535458,401.5716098641668,493,50227.302538766766,biomass,0.29033095589415303,3477160.71,34.41,0
38158.859906536425,2001.1862350357492,6840.785819911185,2464.9891996903943,1370,5003.444290053472,naturalGas,0.39823249514267967,3097045944.62,53.16,1
28283.221279690064,4200.610017255489,11318.368318763449,3525.7134268091468,1529,89386.54228564534,naturalGas,0.21357553961662168,9617946573.34,61.83,1
38662.87540775077,950.8176226887632,4179.086733235625,2590.4388803477027,780,99832.01241766187,oil,0.3032877788324827,1028789311.49,68.84,2
24942.88202003734,3365.577885144894,14865.70828341083,4366.925015545577,258,18967.22536101117,coal,0.22328235749760467,10228030210.73,72.4,3
26375.275054408707,4885.264702650328,1140.3541550483164,1480.238232455034,1107,12917.913512687353,oil,0.20117669817721684,1249246477.84,71.76,2
21663.280408748207,518.4465733559546,17065.59863302246,476.93339795462634,382,15214.168881410927,coal,0.19360696474597033,1649181185.03,71.77,3
1758.2467738327118,51.51651171368814,4044.108089791196,4685.99977770713,1864,66441.67876520235,coal,0.2266186390260942,40892702.04,74.6,3
5840.62563616857,2173.5781352367458,17500.52083099578,1922.071930164684,888,66482.64300662669,oil,0.1784134816528813,9743344979.24,67.33,2
2055.7446914933453,472.2011604263223,7115.331901880295,2903.2074796954853,1841,84944.49206556268,naturalGas,0.3120706626376327,674956725.52,57.28,1
32002.31535755713,3744.4379048843944,14481.403132042284,3970.41547434447,1819,75430.81245419907,oil,0.3559952093070308,14580794986.77,64.75,2
16060.62106327817,4573.597832604309,6452.58342594515,1655.3526361841239,844,45519.27766356464,biomass,0.3590098573258145,1760528.24,14.99,0
25674.249212652787,2175.7646538167064,18127.642257569485,3595.014463979175,880,61672.68079496657,naturalGas,0.1296945496990391,7902191284.21,65.76,1
45424.5404593416,1300.9710943556504,2620.07879781565,720.3233065982488,711,69140.18236643278,coal,0.3635681985560218,587348315.32,69.78,3
12839.96534286931,2177.6725618429828,3652.5438065247145,1491.9040486672511,147,51760.910558237294,naturalGas,0.16954293114928679,1795178445.21,63.48,1
20813.954690263672,3620.004611071505,9911.299490660165,766.3176488757736,957,48089.44746071203,oil,0.1582576829198542,8142799385.21,72.73,2
37899.78135788091,55.180266286051186,1730.574936859108,4065.5912640867214,466,64864.64711862267,naturalGas,0.3043646200893826,22838558.51,58.58,1
11825.509191835312,2951.375407528639,4000.0056755650626,1152.1137143725875,823,56189.98034858972,coal,0.1566437190302013,2255813112.08,73.65,3
4310.505536525253,3070.3255075880215,18880.951006019084,3601.1475992557907,832,64750.28822825512,coal,0.06853824196339854,11131151158.74,75.91,3
14842.696919231517,3192.0643520107183,19532.144256842956,4719.3270663659805,951,61672.62262237302,naturalGas,0.18076622030860784,13817021352.67,61.98,1
8480.453719073219,1217.6901791045773,7587.560653675397,2662.4724348909413,1876,72200.4594908518,biomass,0.30251296012542217,1026038.62,2.73,0
46520.033790957365,3573.1230896568527,18473.39181817732,2723.144501690404,453,64637.54736950473,coal,0.16443544709456182,13082004396.02,72.32,3
